NVDA,1,115,NVDA,175.64,100,1.0,6.472,1.0,2026-03-11,0.01,0.01,21,593 cr,12,006 cr,strong_buy,86.62,86.62,86.62,166.87,151.13,138.15,2.82,5.68,14.93,None,None,None,2025-11-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MS,5707,5783,MS,164.32,100,49.0,64.367,49.0,2026-01-30,0.61,1.0,7,029 cr,1,624 cr,buy,94.33,94.33,69.42,148.78,146.27,129.08,2.44,5.99,10.62,None,None,None,2026-03-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GS,5784,6048,GS,831.27,100,55.0,356.473,55.0,2026-03-02,0.54,4.5,5,939 cr,1,624 cr,buy,439.38,439.38,289.36,752.07,747.89,640.85,2.29,6.43,11.79,None,None,None,2026-03-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
IBM,6049,6147,IBM,248.44,100,61.0,34.845,61.0,2026-02-10,0.68,1.68,6,753 cr,1,057 cr,buy,nan,120.55,115.55,226.02,225.63,232.57,2.57,6.82,18.19,None,None,None,2026-02-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
WFC,6148,6236,WFC,78.28,100,58.0,53.194,58.0,2026-02-06,0.57,0.45,8,004 cr,2,028 cr,buy,58.42,58.42,35.25,70.67,73.22,65.38,2.1,5.27,13.25,None,None,None,2026-03-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
TMUS,6237,6281,TMUS,208.76,100,63.0,53.484,63.0,2026-02-27,0.49,1.02,8,830 cr,1,099 cr,buy,nan,124.92,124.92,197.49,172.56,187.49,2.59,4.61,11.7,None,None,None,2025-11-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
QQQ,6282,6516,QQQ,588.0,40,62.0,357.774,62.0,2025-12-22,0.14,0.794,0 cr,0 cr,None,402.39,402.39,402.39,576.85,548.61,484.76,1.43,2.86,6.71,None,None,None,2026-02-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MCD,6517,6593,MCD,308.47,100,69.0,-2.519,69.0,2026-03-03,0.6,1.86,2,688 cr,856 cr,buy,283.47,283.47,243.53,307.98,293.55,275.67,1.64,3.78,7.53,None,None,None,2026-03-20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GEV,6594,6874,GEV,882.64,100,60.0,41.472,60.0,2026-03-17,0.06,0.5,3,806 cr,488 cr,buy,252.25,252.25,nan,768.66,485.41,nan,4.65,8.7,15.19,None,None,None,2025-10-22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
SAP,6875,6931,SAP,178.16,100,71.0,44.14226,71.0,2025-05-13,1.48,2.63,3,680 cr,716 cr,buy,nan,126.75,78.22,170.13,163.09,194.6,2.31,5.37,16.27,None,None,None,2026-02-05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
INTC,6932,7068,INTC,44.01,100,68.0,22.884,68.0,2024-08-07,0.28,0.125,5,285 cr,-26 cr,hold,17.67,17.67,17.67,39.08,36.16,18.98,5.51,9.94,23.16,None,2025-04-21,None,2025-04-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PEP,7069,7127,PEP,150.88,100,73.0,14.928,73.0,2026-03-06,0.94,1.423,9,392 cr,824 cr,hold,127.6,127.6,155.83,146.35,139.65,128.53,1.93,4.41,10.38,None,None,None,2025-04-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
VZ,7128,7202,VZ,50.58,100,70.0,24.77,70.0,2026-01-12,1.36,0.69,13,819 cr,1,717 cr,buy,38.39,38.39,37.59,47.52,42.95,36.77,1.96,3.42,7.88,None,None,None,2025-10-23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AXP,7203,7307,AXP,301.91,100,72.0,48.796,72.0,2026-01-02,0.27,0.82,6,697 cr,1,070 cr,buy,220.43,220.43,220.43,275.36,282.35,271.03,2.22,5.07,13.09,None,None,None,2026-03-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
T,7308,7368,T,28.76,100,74.0,15.706,74.0,2026-01-12,0.97,0.278,12,564 cr,2,188 cr,buy,nan,15.94,13.43,26.08,23.76,21.59,1.99,4.55,9.29,None,None,None,2025-10-23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
AMGN,7369,7457,AMGN,349.77,40,79.0,16.069,79.0,2026-02-13,0.72,2.52,3,675 cr,771 cr,buy,253.3,253.3,253.3,336.48,312.07,276.08,2.11,4.88,10.64,None,None,None,2025-06-23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ABT,7458,7510,ABT,104.85,100,83.0,30.018,83.0,2026-01-15,0.6,0.63,4,432 cr,650 cr,buy,119.77,119.77,89.67,101.85,100.35,102.08,2.21,3.91,12.05,None,2026-03-23,None,2026-01-30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NEE,7511,7567,NEE,90.23,100,80.0,26.216,80.0,2026-02-27,0.69,0.623,2,741 cr,683 cr,buy,61.72,61.72,61.72,87.2,79.02,64.97,2.47,4.33,9.15,None,None,None,2025-05-23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
C,7568,7660,C,111.64,100,76.0,110.006,76.0,2026-02-02,0.54,0.6,7,571 cr,1,302 cr,buy,55.51,55.51,38.17,100.5,98.2,76.83,2.29,5.63,11.88,None,None,None,2026-03-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CRM,7661,7749,CRM,195.18,100,84.0,63.662,84.0,2025-12-18,0.21,0.416,4,152 cr,745 cr,buy,nan,212.0,126.34,168.75,158.49,175.64,3.15,6.55,18.57,None,None,None,2026-02-06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
GILD,7750,7820,GILD,137.34,100,90.0,18.293,90.0,2026-03-13,0.6,0.82,2,944 cr,851 cr,buy,nan,62.07,62.07,133.19,124.26,102.98,2.63,4.96,10.59,None,None,None,2025-04-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DIS,7821,7903,DIS,97.95,100,87.0,61.079,87.0,2025-12-15,0.77,0.75,9,571 cr,1,225 cr,buy,80.1,80.1,80.1,94.02,86.91,74.85,1.93,3.84,9.62,None,None,None,2026-02-13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
TXN,7904,7970,TXN,188.63,100,88.0,17.942,88.0,2026-01-30,0.75,1.42,1,768 cr,497 cr,hold,139.95,139.95,139.95,173.11,165.4,156.12,2.41,6.01,14.03,None,None,None,2025-07-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
TMO,7971,8043,TMO,478.12,100,85.0,141.956,85.0,2026-03-13,0.1,0.47,4,455 cr,670 cr,strong_buy,385.46,385.46,415.6,437.85,427.3,411.85,2.26,4.47,13.66,None,None,None,2026-02-12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
TJX,8044,8094,TJX,156.5,100,86.0,9.058,86.0,2026-02-12,0.27,0.425,6,037 cr,549 cr,none,nan,53.69,53.69,149.96,142.96,121.09,1.71,3.33,7.22,None,None,None,2026-01-29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ISRG,8095,8213,ISRG,478.04,40,91.0,50.194,91.0,None,nan,nan,1,006 cr,285 cr,buy,427.84,427.84,180.07,442.27,412.36,415.31,2.72,4.48,13.88,None,None,None,2026-01-14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NVO,8214,8316,NVO,36.82,100,128.0,6.7545824,128.0,2025-08-18,1.59,0.584,30,906 cr,10,243 cr,buy,nan,47.51,20.61,29.62,22.58,30.4,2.3,9.37,29.36,None,None,None,2026-02-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ANET,8317,8431,ANET,135.88,100,89.0,9.845,89.0,None,nan,nan,900 cr,351 cr,strong_buy,59.43,59.43,59.43,119.7,105.78,86.95,3.83,8.7,20.0,None,None,None,2025-11-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
