[High Premium Options List]
Symbol,Rank,Rank,Lot,Intrinsic,ltp,Strike_Price,Call_Ask1%,Call_Ask2%,Call_Ask3%,Put_Ask1%,Put_Ask2%,Put_Ask3%,Day_Range,Week_Range,Month_Range
ADANIGREEN,56,56,1,114.432,970.35,970,0.4,5.1,,0.4,4.6,,3.79,10.46,18.83
TVSMOTOR,49,49,1,170.789,3829.1,3820,0.4,3.2,,0.2,2.3,,1.99,4.88,9.17
JSWSTEEL,26,26,1,340.317,1240.5,1240,0.4,2.9000000000000004,,0.7000000000000001,2.4,,1.88,4.19,8.24
DABUR,121,121,1,61.748,514.35,515,0.4,2.9000000000000004,,0.4,2.1999999999999997,,2.23,4.65,8.82
IDEA,90,90,1,-7.613,10.98,11,0.4,6.1,,0.4,5.2,,2.76,9.1,21.08
BAJFINANCE,7,7,1,166.188,1031,1030,0.4,2.7,,0.7000000000000001,2,,2.2,5.28,11.07
NHPC,142,142,1,41.182,74.08,74,0.4,3.5999999999999996,,0.7000000000000001,2.7,,2.05,6.42,11.07
LICI,9,9,1,192.552,883.25,885,0.4,2.8000000000000003,,0.6,2.3,,1.82,5.29,7.67
POLICYBZR,152,152,1,147.566,1496,1500,0.4,4.8,,0.7000000000000001,4.8,,3.02,7.85,15.43
MANKIND,128,128,1,370.263,2046.6,2040,0.4,3.5999999999999996,,0.2,2.7,,1.85,4.81,10.28
MAXHEALTH,105,105,1,102.713,1083.6,1080,0.4,3.2,,0.4,2.5,,2.14,5.86,12.51
FORTIS,149,149,1,124.776,919.7,920,0.4,3.2,,0.5,2.6,,2.21,5.89,12.32
KOTAKBANK,14,14,1,169.003,430.7,430,0.4,2.6,3.3000000000000003,0.6,2.1,0,1.95,4.15,7.1
LODHA,101,101,1,213.103,1072.9,1070,0.4,4.3,,0.2,3.2,,2.82,9.16,14.37
ITC,17,17,1,56.707,325.4,325,0.4,2.8000000000000003,0.5,0.3,1.9,0.5,1.93,5.41,10.4
INDHOTEL,114,114,1,81.28,675.1,675,0.4,2.6,,0.5,2.1999999999999997,,2.64,6.33,11.31
CGPOWER,94,94,1,47.36,720.5,720,0.4,4.2,,0.6,3.6999999999999997,,2.51,8.54,12.95
TCS,6,6,1,313.727,2676.3,2680,0.4,3.5000000000000004,,0.8,3.3000000000000003,,2.64,7.87,11.37
OIL,136,136,1,345.697,473.75,475,0.4,4.8,,0.8,4.7,,2.97,9.82,11.63
DIVISLAB,51,51,1,580.952,6293.5,6300,0.4,2.8000000000000003,,0.7000000000000001,2.5,,2.01,6.63,11.53
HDFCAMC,92,92,1,180.809,2726.8,2720,0.3,3,,0.2,2.4,,2.39,7.45,10.32
HINDALCO,44,44,1,607.505,916.2,920,0.3,3.4000000000000004,,1.2,3.3000000000000003,2.4,2.84,8.48,10.49
LICHSGFIN,269,269,1,700.243,524.85,525,0.3,2.7,,0.6,2,,2.03,5.47,8.05
SBIN,4,4,1,641.361,1227.8,1230,0.3,2.9000000000000004,,0.5,2.6,,1.52,5.33,7.82
NESTLEIND,34,34,1,22.996,1315.1,1320,0.3,2.4,,0.6,2,,1.81,4,7.03
TATASTEEL,33,33,1,76.221,208.14,208,0.3,3.4000000000000004,0.5,0.4,2.9000000000000004,,2.5,6.51,10.07
HINDPETRO,117,117,1,267.396,438.5,440,0.3,3.8,,0.5,3.5999999999999996,3.9,2.28,8.57,14.22
TITAN,20,20,1,144.377,4272.7,4280,0.3,2.7,,0.3,2.1,,1.57,5.24,9.46
PPLPHARMA,319,319,1,61.029,162.14,162.5,0.3,3.5000000000000004,,1,4.6,,2.93,7.98,14.48
POWERGRID,27,27,1,106.531,303.35,302.5,0.3,3.1,,0.5,2.5,,2.41,5.48,8.19
HEROMOTOCO,98,98,1,1049.694,5488.5,5500,0.3,3.1,3.2,0.5,2.9000000000000004,2.8000000000000003,2.65,6.24,12.74
PIIND,202,202,1,713.681,3119.5,3120,0.3,2.5,,0.4,4.1000000000000005,,3.24,7.02,11.55
ASTRAL,211,211,1,140.62,1635.1,1640,0.3,2.5,,0.3,3.4000000000000004,,2.17,6.31,9.83
INDUSTOWER,82,82,1,143.571,472.2,470,0.3,3.5999999999999996,,0.3,2.8000000000000003,,2.13,6.15,10.58
APOLLOHOSP,96,96,1,632.453,7693,7700,0.3,2.3,,0.6,1.9,,1.29,5.17,9.32
DRREDDY,99,99,1,447.25,1307.4,1310,0.3,2.7,,0.5,2.1999999999999997,,1.59,5.28,8.0
BSE,95,95,1,155.005,2725.3,2750,0.3,4.3999999999999995,,1.2,5,,3.33,10.09,17.93
DLF,57,57,1,173.817,626.3,630,0.3,3.5999999999999996,,1,3.5999999999999996,,2.62,7.74,12.77
GMRAIRPORT,103,103,1,-2.948,100.84,101,0.3,3.8,,0.6,3.5000000000000004,,2.85,7.45,12.5
PAYTM,139,139,1,241.057,1173.7,1180,0.3,4.1000000000000005,,1.2,4.1000000000000005,,3.23,11.34,16.88
MFSL,162,162,1,153.576,1870,1880,0.3,3,,1,3.2,,1.85,5.21,10.13
POLYCAB,89,89,1,745.354,7974,8000,0.3,3.4000000000000004,,0.3,3.2,,2.04,6.81,10.11
SOLARINDS,87,87,1,565.321,13370,13400,0.3,3.8,,0.8,3.5999999999999996,,2.49,7.95,11.69
NYKAA,137,137,1,4.837,266.73,267.5,0.3,3.4000000000000004,,1,2.8000000000000003,,2.62,7.32,13.19
JINDALSTEL,84,84,1,488.235,1216.6,1220,0.3,3.3000000000000003,,0.4,3.1,,2.36,6.37,9.67
TORNTPOWER,135,135,1,373.253,1536.4,1540,0.3,3.4000000000000004,,0.3,3.8,,2.92,7.13,9.64
AMBUJACEM,79,79,1,227.549,515.3,515,0.3,3.2,,0.5,2.4,,2.01,7.03,9.45
OBEROIRLTY,186,186,1,460.41,1521.8,1520,0.3,3.1,,0.3,3.4000000000000004,,2.25,6.89,12.28
BHARTIARTL,3,3,1,204.916,1997.3,2000,0.3,2.3,,0.7000000000000001,2,,1.46,4.15,8.24
TMPV,71,71,1,300.66,379.95,380,0.3,3.4000000000000004,4.8,0.6,3.1,0,2.26,5.83,
TRENT,66,66,1,171.62,4054.9,4050,0.3,3.5999999999999996,,0.6,3.1,,2.29,7.56,15.03
SUPREMEIND,198,198,1,450.434,3940.6,3950,0.3,3.1,,0.4,3.3000000000000003,,2.17,5.54,12.1
TIINDIA,199,199,1,388.704,2539.6,2540,0.3,4.2,,0.4,3.4000000000000004,,2.97,8.56,15.16
BRITANNIA,63,63,1,154.997,6122.5,6100,0.3,2.7,,0.3,1.9,,1.74,4.23,8.21
PIDILITIND,61,61,1,93.848,1481,1480,0.3,2,,0.3,1.7999999999999998,,1.53,3.78,7.06
SUNPHARMA,15,15,1,324.462,1732.3,1730,0.2,2.4,,0.4,1.6,,1.12,4.33,8.63
ICICIGI,112,112,1,346.008,1953.8,1960,0.2,2.3,,0.8999999999999999,2.4,,1.69,5.08,8.2
