[Equity NWE - Nearing List]
Symbol,Rank,Lot,MTF,Quality Score,LTP,Day Gap%,Week Gap%,Month Gap%,Volatility%,Details
ARCC,837,100,1.0,4,18.03,1.16,5.99,6.46,1.7,(Stock Name: Ares Capital Corporation; Sector: Financial Services; Intrinsic: 19.59; Revenue: 308 cr; Net Profit: 115 cr; Recommended: buy; Projected High: 23.0; Projected Medium: 21.0; Projected Low: 19.0; All time high: 23.84 => 24.0%; SMA 200: 19.66 => -9.04%; RSI: 34.65; Day Volatility: 1.7; Week Volatility: 3.56; Month Volatility: 8.18; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 18.26 => -1.28%; Week Support: 18.26 => -1.28%; Month Support: 18.26 => -1.28%; Day NWE: 17.82 => 1.16%; Week NWE: 16.95 => 5.99%; Month NWE: 16.87 => 6.46%)
AVB,554,100,1.0,4,177.32,1.2,8.6,21.29,2.14,(Stock Name: AvalonBay Communities, Inc.; Sector: Real Estate; Intrinsic: 82.72; Revenue: 306 cr; Net Profit: 114 cr; Recommended: buy; Projected High: 221.0; Projected Medium: 196.5; Projected Low: 172.0; All time high: 259.05 => 32.0%; SMA 200: 180.23 => -1.64%; RSI: 37.52; Day Volatility: 2.14; Week Volatility: 4.27; Month Volatility: 8.32; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 180.4 => -1.74%; Week Support: 180.4 => -1.74%; Month Support: 153.07 => 13.68%; Day NWE: 175.2 => 1.2%; Week NWE: 162.06 => 8.6%; Month NWE: 139.57 => 21.29%)
GBDC,1821,100,1.0,2,12.35,1.21,3.89,8.03,2.0,(Stock Name: Golub Capital BDC, Inc.; Sector: Financial Services; Intrinsic: 14.35; Revenue: 83 cr; Net Profit: 20 cr; Recommended: none; Projected High: 14.0; Projected Medium: 14.0; Projected Low: 13.0; All time high: 20.08 => 38.0%; SMA 200: 13.37 => -8.27%; RSI: 34.62; Day Volatility: 2.0; Week Volatility: 4.72; Month Volatility: 9.15; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 12.68 => -2.67%; Week Support: 12.68 => -2.67%; Month Support: 11.94 => 3.32%; Day NWE: 12.2 => 1.21%; Week NWE: 11.87 => 3.89%; Month NWE: 11.36 => 8.03%)
NVCR,2355,100,1.0,-1,14.28,1.21,34.27,89.76,6.23,(Stock Name: NovoCure Limited; Sector: Healthcare; Intrinsic: 2.85; Revenue: 67 cr; Net Profit: -17 cr; Recommended: buy; Projected High: 46.0; Projected Medium: 27.0; Projected Low: 17.0; All time high: 232.76 => 94.0%; SMA 200: 13.35 => 6.48%; RSI: 36.84; Day Volatility: 6.23; Week Volatility: 17.47; Month Volatility: 29.29; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 14.17 => 0.77%; Month Support: 10.87 => 23.88%; Day NWE: 14.11 => 1.21%; Week NWE: 9.39 => 34.27%; Month NWE: 1.46 => 89.76%)
CSGS,2089,100,1.0,3,80.69,1.23,9.7,24.97,0.14,(Stock Name: CSG Systems International, Inc.; Sector: Technology; Intrinsic: 10.29; Revenue: 124 cr; Net Profit: 6 cr; Recommended: hold; Projected High: 80.7; Projected Medium: 80.7; Projected Low: 80.7; All time high: 80.73 => 0.0%; SMA 200: 74.5 => 7.67%; RSI: 70.15; Day Volatility: 0.14; Week Volatility: 0.57; Month Volatility: 1.99; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 39.56 => 50.97%; Month Support: 39.56 => 50.97%; Day NWE: 79.7 => 1.23%; Week NWE: 72.86 => 9.7%; Month NWE: 60.55 => 24.97%)
CQP,517,100,1.0,5,58.05,1.26,3.73,16.63,3.96,(Stock Name: Cheniere Energy Partners, LP; Sector: Energy; Intrinsic: 6.07; Revenue: 1137 cr; Net Profit: 207 cr; Recommended: underperform; Projected High: 72.0; Projected Medium: 59.0; Projected Low: 50.0; All time high: 70.64 => 18.0%; SMA 200: 57.93 => 0.21%; RSI: 35.76; Day Volatility: 3.96; Week Volatility: 9.12; Month Volatility: 13.43; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 49.53 => 14.68%; Week Support: 49.53 => 14.68%; Month Support: 17.75 => 69.42%; Day NWE: 57.32 => 1.26%; Week NWE: 55.89 => 3.73%; Month NWE: 48.39 => 16.63%)
CTSH,634,100,1.0,4,43.7,1.3,6.34,-17.17,4.68,(Stock Name: Cognizant Technology Solutions ; Sector: Technology; Intrinsic: 31.79; Revenue: 2141 cr; Net Profit: 223 cr; Recommended: buy; Projected High: 93.0; Projected Medium: 70.0; Projected Low: 55.0; All time high: 93.47 => 53.0%; SMA 200: 67.6 => -54.69%; RSI: 25.68; Day Volatility: 4.68; Week Volatility: 12.69; Month Volatility: 27.56; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 65.52 => -49.93%; Week Support: 65.52 => -49.93%; Month Support: 51.33 => -17.46%; Day NWE: 43.13 => 1.3%; Week NWE: 40.93 => 6.34%; Month NWE: 51.2 => -17.17%)
HOLX,716,100,1.0,4,76.01,1.3,11.67,21.87,0.18,(Stock Name: Hologic, Inc.; Sector: Healthcare; Intrinsic: 23.51; Revenue: 413 cr; Net Profit: 54 cr; Recommended: hold; Projected High: 78.0; Projected Medium: 76.0; Projected Low: 76.0; All time high: 87.88 => 14.0%; SMA 200: 71.34 => 6.15%; RSI: 68.74; Day Volatility: 0.18; Week Volatility: 0.52; Month Volatility: 2.86; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 51.9 => 31.72%; Week Support: 51.9 => 31.72%; Month Support: 51.9 => 31.72%; Day NWE: 75.02 => 1.3%; Week NWE: 67.14 => 11.67%; Month NWE: 59.39 => 21.87%)
TS,503,100,1.0,4,57.22,1.31,8.86,34.66,2.35,(Stock Name: Tenaris S.A.; Sector: Energy; Intrinsic: 16.93; Revenue: 1216 cr; Net Profit: 197 cr; Recommended: none; Projected High: 82.0; Projected Medium: 63.3; Projected Low: 52.0; All time high: 64.6 => 11.0%; SMA 200: 47.73 => 16.59%; RSI: 35.67; Day Volatility: 2.35; Week Volatility: 6.98; Month Volatility: 13.03; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 30.06 => 47.47%; Week Support: 30.06 => 47.47%; Month Support: 27.24 => 52.39%; Day NWE: 56.47 => 1.31%; Week NWE: 52.15 => 8.86%; Month NWE: 37.39 => 34.66%)
PTC,823,100,1.0,5,114.75,1.33,7.43,-8.39,5.81,(Stock Name: PTC Inc.; Sector: Technology; Intrinsic: 33.42; Revenue: 300 cr; Net Profit: 125 cr; Recommended: buy; Projected High: 230.0; Projected Medium: 180.0; Projected Low: 130.0; All time high: 219.69 => 48.0%; SMA 200: 166.16 => -44.8%; RSI: 27.48; Day Volatility: 5.81; Week Volatility: 12.47; Month Volatility: 19.65; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 133.38 => -16.24%; Week Support: 133.38 => -16.24%; Month Support: 133.38 => -16.24%; Day NWE: 113.22 => 1.33%; Week NWE: 106.22 => 7.43%; Month NWE: 124.38 => -8.39%)
